File Name,File Path,Detected Type
File156,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File156,PDF
File162,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File162,ZIP
File135,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File135,PDF
File154,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File154,Unknown
File136,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File136,Unknown
File160,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File160,PE/EXE
File137,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File137,Unknown
File180,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File180,PE/EXE
File138,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File138,PDF
File139,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File139,Unknown
File140,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File140,JPEG
File159,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File159,PE/EXE
File141,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File141,PE/EXE
File142,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File142,ZIP
File161,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File161,ZIP
File166,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File166,PE/EXE
File163,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File163,JPEG
File149,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File149,ZIP
File190,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File190,PNG
File211,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File211,ZIP
File150,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File150,ZIP
File152,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File152,JPEG
File153,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File153,ZIP
File169,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File169,"UTF-8(TEXT,BOM)"
File170,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File170,ZIP
File171,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File171,ZIP
File174,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File174,Unknown
File189,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File189,ZIP
File172,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File172,Unknown
File173,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File173,PE/EXE
File175,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File175,"UTF-8(TEXT,BOM)"
File176,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File176,PE/EXE
File181,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File181,ZIP
File192,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File192,Unknown
File182,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File182,PDF
File183,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File183,ZIP
File184,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File184,PNG
File186,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File186,Unknown
File185,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File185,ZIP
File187,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File187,ZIP
File208,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File208,ZIP
File188,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File188,Unknown
File191,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File191,ZIP
File215,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File215,"UTF-8(TEXT,BOM)"
File193,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File193,ZIP
File206,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File206,ZIP
File194,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File194,ZIP
File218,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File218,PNG
File195,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File195,Unknown
File196,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File196,ZIP
File200,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File200,PE/EXE
File220,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File220,Unknown
File197,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File197,ZIP
File214,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File214,JPEG
File198,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File198,ZIP
File201,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File201,PE/EXE
File202,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File202,Unknown
File216,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File216,"UTF-8(TEXT,BOM)"
File203,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File203,"UTF-8(TEXT,BOM)"
File204,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File204,"UTF-8(TEXT,BOM)"
File207,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File207,PE/EXE
File209,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File209,PDF
File212,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File212,Unknown
File210,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File210,ZIP
File213,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File213,PE/EXE
File217,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File217,Unknown
File219,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File219,JPEG
File002,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File002,"UTF-8(TEXT,BOM)"
File003,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File003,Unknown
File001,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File001,PE/EXE
File008,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File008,PNG
File007,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File007,ZIP
File048,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File048,"UTF-8(TEXT,BOM)"
File102,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File102,Unknown
File016,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File016,Unknown
File017,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File017,ZIP
File057,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File057,"UTF-8(TEXT,BOM)"
File004,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File004,Unknown
File014,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File014,ZIP
File015,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File015,Unknown
File005,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File005,PE/EXE
File006,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File006,ZIP
File020,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File020,Unknown
File114,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File114,PDF
File026,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File026,Unknown
File021,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File021,Unknown
File009,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File009,PNG
File013,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File013,"UTF-8(TEXT,BOM)"
File010,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File010,ZIP
File018,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File018,PDF
File011,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File011,ZIP
File054,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File054,"UTF-8(TEXT,BOM)"
File012,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File012,ZIP
File056,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File056,ZIP
File019,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File019,PNG
File022,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File022,PDF
File023,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File023,MP3(ID3)
File110,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File110,Unknown
File037,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File037,ZIP
File024,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File024,PE/EXE
File025,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File025,PE/EXE
File027,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File027,PE/EXE
File041,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File041,PNG
File028,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File028,Unknown
File059,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File059,PNG
File029,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File029,Unknown
File143,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File143,JPEG
File030,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File030,ZIP
File031,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File031,ZIP
File032,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File032,ZIP
File033,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File033,Unknown
File034,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File034,Unknown
File035,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File035,ZIP
File036,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File036,PNG
File113,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File113,JPEG
File038,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File038,Unknown
File040,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File040,Unknown
File039,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File039,"UTF-8(TEXT,BOM)"
File055,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File055,Unknown
File042,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File042,PE/EXE
File094,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File094,ZIP
File043,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File043,ZIP
File108,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File108,PNG
File058,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File058,Unknown
File044,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File044,Unknown
File100,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File100,ZIP
File045,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File045,JPEG
File146,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File146,PE/EXE
File046,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File046,PE/EXE
File047,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File047,PE/EXE
File050,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File050,Unknown
File049,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File049,"UTF-8(TEXT,BOM)"
File060,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File060,PE/EXE
File051,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File051,PE/EXE
File093,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File093,ZIP
File052,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File052,JPEG
File090,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File090,JPEG
File053,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File053,JPEG
File061,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File061,Unknown
File062,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File062,PE/EXE
File063,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File063,MP3(ID3)
File115,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File115,PE/EXE
File064,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File064,Unknown
File111,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File111,ZIP
File157,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File157,Unknown
File065,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File065,Unknown
File096,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File096,ZIP
File066,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File066,PDF
File067,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File067,PE/EXE
File118,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File118,PE/EXE
File109,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File109,Unknown
File068,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File068,PNG
File112,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File112,Unknown
File069,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File069,PNG
File119,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File119,"UTF-8(TEXT,BOM)"
File104,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File104,ZIP
File070,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File070,PNG
File071,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File071,PE/EXE
File106,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File106,Unknown
File072,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File072,PNG
File107,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File107,JPEG
File144,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File144,ZIP
File073,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File073,JPEG
File120,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File120,"UTF-8(TEXT,BOM)"
File101,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File101,PE/EXE
File074,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File074,ZIP
File075,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File075,PE/EXE
File116,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File116,ZIP
File076,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File076,ZIP
File098,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File098,PNG
File077,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File077,"UTF-8(TEXT,BOM)"
File078,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File078,JPEG
File099,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File099,Unknown
File079,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File079,Unknown
File145,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File145,ZIP
File080,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File080,PE/EXE
File081,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File081,PE/EXE
File117,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File117,ZIP
File082,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File082,Unknown
File097,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File097,Unknown
File083,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File083,Unknown
File105,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File105,PNG
File095,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File095,PE/EXE
File084,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File084,PDF
File085,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File085,ZIP
File086,C:\Users\Vigilante\AppData\Local\Temp\vmware-Vigilante\VMwareDnD\4f9c8290\File\File086,Unknown
